ts,frame_idx,mode,fps,latency_ms,width,height,power_state
1771342465.366789,1,hand,1.5845081542989041,51.96350021287799,640,480,unknown
1771342465.469137,2,hand,7.041557961890372,14.514799928292632,640,480,unknown
1771342465.4905229,3,hand,36.92819158302518,14.631500001996756,640,480,unknown
1771342465.536947,4,hand,30.231178959355923,16.331099905073643,640,480,unknown
1771342465.558122,5,hand,45.64086269559729,15.140400035306811,640,480,unknown
1771342465.5777514,6,hand,28.892559706273378,15.247900038957596,640,480,unknown
1771342465.6112535,7,hand,29.848873453934726,14.52290010638535,640,480,unknown
1771342465.6470668,8,hand,30.134092019426962,14.35540011152625,640,480,unknown
1771342465.6797664,9,hand,28.30623042867941,14.71540005877614,640,480,unknown
1771342465.728343,10,hand,29.394931599013233,14.433900127187371,640,480,unknown
1771342465.7462134,11,hand,30.83797634014896,14.451400144025683,640,480,unknown
1771342465.779383,12,hand,30.148171042890105,15.16720000654459,640,480,unknown
1771342465.827852,13,hand,29.23348852769801,14.701299834996462,640,480,unknown
1771342465.8467722,14,hand,30.136906772049578,15.061700018122792,640,480,unknown
1771342465.8799133,15,hand,30.17398060487468,14.89129988476634,640,480,unknown
1771342465.9302592,16,hand,29.093774494502828,15.861100051552057,640,480,unknown
1771342465.9523606,17,hand,29.4659697633901,14.705399982631207,640,480,unknown
1771342465.9817245,18,hand,29.848873453934726,14.301400166004896,640,480,unknown
1771342466.0157597,19,hand,29.381341328439134,14.165899949148297,640,480,unknown
1771342466.0649226,20,hand,29.2430679988008,15.528399962931871,640,480,unknown
1771342466.0998447,21,hand,28.595512588885782,16.399099957197905,640,480,unknown
1771342466.132982,22,hand,29.6576535807218,15.612400136888027,640,480,unknown
1771342466.1530275,23,hand,29.084090893331393,13.871700037270784,640,480,unknown
1771342466.1864965,24,hand,29.87842910976713,14.80109989643097,640,480,unknown
1771342466.2198725,25,hand,29.961668416804176,14.683299930766225,640,480,unknown
1771342466.2550628,26,hand,29.423594693754428,14.678499894216657,640,480,unknown
1771342466.28864,27,hand,28.75114989409321,14.334100065752864,640,480,unknown
1771342466.3440871,28,hand,29.284924314360723,28.12799997627735,640,480,unknown
1771342466.3572276,29,hand,29.035769419811288,14.57899995148182,640,480,unknown
1771342466.4061935,30,hand,30.244258405982073,17.080300021916628,640,480,unknown
1771342466.424288,31,hand,29.414928010884278,15.305599896237254,640,480,unknown
1771342466.4444215,32,hand,51.80007657062405,14.53920011408627,640,480,unknown
1771342466.4905367,33,hand,29.712488399934827,14.540599891915917,640,480,unknown
1771342466.5286329,34,hand,30.226603825254752,18.28740001656115,640,480,unknown
1771342466.5587487,35,hand,29.339414373452342,14.22929996624589,640,480,unknown
1771342466.5793726,36,hand,28.607019601958832,14.63199988938868,640,480,unknown
1771342466.6252904,37,hand,30.330648077173393,14.218700118362904,640,480,unknown
1771342466.660965,38,hand,30.730878851155804,15.935800038278103,640,480,unknown
1771342466.693849,39,hand,29.64360984090861,15.08600008673966,640,480,unknown
1771342466.7110224,40,hand,30.859303839843435,14.608499826863408,640,480,unknown
1771342466.7581472,41,hand,29.967662420245638,15.09640016593039,640,480,unknown
1771342466.793851,42,hand,29.38257628828425,15.341100050136447,640,480,unknown
1771342466.8207405,43,hand,30.762659156251832,14.528399799019098,640,480,unknown
1771342466.8593998,44,hand,29.83698265682132,14.825899852439761,640,480,unknown
1771342466.8922195,45,hand,29.385664142139518,14.73759999498725,640,480,unknown
1771342466.9154532,46,hand,29.841440595362602,14.089500065892935,640,480,unknown
1771342466.9615738,47,hand,29.12852708117756,16.271900152787566,640,480,unknown
1771342466.993584,48,hand,29.53984843789616,14.792999951168895,640,480,unknown
1771342467.0250957,49,hand,29.050248993981203,14.16290015913546,640,480,unknown
1771342467.062429,50,hand,29.874811248183708,13.972900109365582,640,480,unknown
1771342467.0854783,51,hand,29.94455589745054,13.95799987949431,640,480,unknown
