ts,frame_idx,mode,fps,latency_ms,target_w,target_h,power_state
1771343880.0942986,1,hand,1.2817355531767105,32.301099970936775,640,480,plugged
1771343880.1726146,2,hand,10.943984636740318,15.891399933025241,640,480,plugged
1771343880.2331405,3,hand,13.094923509210115,14.96300008147955,640,480,plugged
1771343880.2667112,4,hand,52.221870836809146,14.929299941286445,640,480,plugged
1771343880.287939,5,hand,28.050854372178566,14.600900001823902,640,480,plugged
1771343880.33687,6,hand,30.21985258622553,17.09929993376136,640,480,plugged
1771343880.366196,7,hand,29.58151606623974,14.626699965447187,640,480,plugged
1771343880.3902185,8,hand,28.261599622666935,14.761499827727675,640,480,plugged
1771343880.424385,9,hand,29.26837165486201,14.457999961450696,640,480,plugged
1771343880.4661183,10,hand,29.91145595618439,14.035000000149012,640,480,plugged
1771343880.4921715,11,hand,53.80485927598327,14.482899801805615,640,480,plugged
1771343880.5102644,12,hand,29.531944855167364,14.532400062307715,640,480,plugged
1771343880.5577855,13,hand,31.142044653000006,15.196500113233924,640,480,plugged
1771343880.5902193,14,hand,30.819395560388852,15.363299986347556,640,480,plugged
1771343880.6215844,15,hand,31.20390429710749,14.683400047942996,640,480,plugged
1771343880.6558287,16,hand,30.374578161435625,17.64299999922514,640,480,plugged
1771343880.6729016,17,hand,30.202661443631545,14.321000082418323,640,480,plugged
1771343880.7080233,18,hand,29.468868123375255,14.64989990927279,640,480,plugged
1771343880.7418184,19,hand,29.937502676621317,15.086200088262558,640,480,plugged
1771343880.7890923,20,hand,30.341838174123776,15.965000027790666,640,480,plugged
1771343880.8064218,21,hand,30.097548024139442,14.788400148972869,640,480,plugged
1771343880.8406825,22,hand,29.18791927627001,14.677800005301833,640,480,plugged
1771343880.8902407,23,hand,29.92361968223619,27.773699956014752,640,480,plugged
1771343880.9244015,24,hand,29.316856320071576,16.864200122654438,640,480,plugged
1771343880.942697,25,hand,28.997227695392166,14.0174999833107,640,480,plugged
1771343880.9759896,26,hand,30.036766232929196,14.08460014499724,640,480,plugged
1771343881.0257776,27,hand,29.667513103262905,16.874000197276473,640,480,plugged
1771343881.0439167,28,hand,29.222490071762,14.938300009816885,640,480,plugged
1771343881.0794325,29,hand,30.011834996958964,15.279499813914299,640,480,plugged
1771343881.1121287,30,hand,28.65999303026369,14.763099839910865,640,480,plugged
1771343881.1611474,31,hand,30.08243740451993,15.486200107261539,640,480,plugged
1771343881.1789317,32,hand,29.796497708947538,14.686000067740679,640,480,plugged
1771343881.2141113,33,hand,28.425552679019205,14.46370012126863,640,480,plugged
1771343881.247126,34,hand,30.289469503300257,13.681199867278337,640,480,plugged
1771343881.2728562,35,hand,50.715871442044936,14.702300075441599,640,480,plugged
1771343881.300611,36,hand,29.614516698439598,14.971799915656447,640,480,plugged
1771343881.3670597,37,hand,29.953323620990087,33.36900006979704,640,480,plugged
1771343881.399115,38,hand,20.088721149102682,15.204100171104074,640,480,plugged
1771343881.433642,39,hand,29.38484065098748,16.90070005133748,640,480,plugged
1771343881.4509606,40,hand,30.16226322829323,14.456199947744608,640,480,plugged
1771343881.5021894,41,hand,28.64218303992133,15.727600082755089,640,480,plugged
1771343881.5338132,42,hand,30.482303521853517,15.798899810761213,640,480,plugged
1771343881.5672336,43,hand,29.807720734550003,14.955899911001325,640,480,plugged
1771343881.5990157,44,hand,30.00839945339162,14.10340005531907,640,480,plugged
1771343881.6189191,45,hand,29.97001786352269,14.955299906432629,640,480,plugged
1771343881.6656117,46,hand,29.92596820685522,13.9467001426965,640,480,plugged
1771343881.6865895,47,hand,29.193201275108926,14.689099974930286,640,480,plugged
1771343881.7219217,48,hand,29.00524878116248,14.561499934643507,640,480,plugged
1771343881.766999,49,hand,29.085099301009652,14.887899858877063,640,480,plugged
1771343881.789175,50,hand,29.649686841696003,15.135100111365318,640,480,plugged
1771343881.8220665,51,hand,30.40298063889473,14.751399867236614,640,480,plugged
1771343881.86713,52,hand,30.083084691301355,14.627800090238452,640,480,plugged
1771343881.905799,53,hand,29.1044742977684,15.820399858057499,640,480,plugged
1771343881.9232101,54,hand,29.81216993268937,14.76069982163608,640,480,plugged
1771343881.9672701,55,hand,29.796921065905103,13.88130011036992,640,480,plugged
1771343881.9743986,56,hand,56.72807931076457,13.779599918052554,640,480,plugged
1771343881.9920611,57,hand,56.61704597608056,13.919000048190355,640,480,plugged
1771343882.041281,58,hand,29.96830477714743,15.892799943685532,640,480,plugged
1771343882.067724,59,hand,29.878003433513083,14.38520010560751,640,480,plugged
1771343882.0924547,60,hand,29.801367040400166,14.208900043740869,640,480,plugged
1771343882.126911,61,hand,29.02230833102685,13.689300045371056,640,480,plugged
1771343882.168256,62,hand,30.024510365364794,15.360200079157948,640,480,plugged
1771343882.2097626,63,hand,29.868641623642514,31.04849997907877,640,480,plugged
1771343882.2684197,64,hand,20.02494103717284,25.87020001374185,640,480,plugged
1771343882.276547,65,hand,30.383819651705252,15.522500034421682,640,480,plugged
1771343882.3100383,66,hand,29.858435428872454,15.055199852213264,640,480,plugged
1771343882.3440983,67,hand,29.359951840288957,14.034599997103214,640,480,plugged
1771343882.3777163,68,hand,29.74599302147457,14.099700143560767,640,480,plugged
1771343882.4277315,69,hand,29.3696143854465,16.670600045472383,640,480,plugged
1771343882.44615,70,hand,29.082477586481858,14.56709997728467,640,480,plugged
1771343882.496826,71,hand,28.522202728249486,20.39720001630485,640,480,plugged
1771343882.5142126,72,hand,30.30106703462625,14.463899889960885,640,480,plugged
1771343882.56362,73,hand,29.737557074388135,17.20879995264113,640,480,plugged
1771343882.5811362,74,hand,30.03354003465708,14.626099960878491,640,480,plugged
1771343882.614673,75,hand,29.818104263381272,15.419300179928541,640,480,plugged
1771343882.6483798,76,hand,29.667513103262905,14.135400066152215,640,480,plugged
1771343882.6974244,77,hand,30.15662477351816,17.247800016775727,640,480,plugged
1771343882.731469,78,hand,30.821207333651763,17.325699795037508,640,480,plugged
1771343882.7629166,79,hand,29.88779705704208,15.437099849805236,640,480,plugged
1771343882.7914004,80,hand,30.789532024224627,14.405000023543835,640,480,plugged
1771343882.8144207,81,hand,28.986806913757714,13.833499979227781,640,480,plugged
1771343882.863697,82,hand,30.05290762660858,17.238799948245287,640,480,plugged
1771343882.897671,83,hand,29.58255926309924,16.459800070151687,640,480,plugged
1771343882.9312518,84,hand,29.536936099491555,15.672700013965368,640,480,plugged
1771343882.9650078,85,hand,29.700075059126764,17.649899935349822,640,480,plugged
1771343882.9824736,86,hand,29.896531569418507,14.115799916908145,640,480,plugged
1771343883.018799,87,hand,29.302928683210375,14.568899990990758,640,480,plugged
